,title,price,link,image,company
19,Go to Suede Classic Sneakers Team Regal Red-PUMA White,$90.00,https://us.puma.com/us/en/pd/suede-classic-sneakers/399781?swatch=05,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/399781/05/sv01/fnd/PNA/fmt/png/Suede-Classic-Sneakers",Puma
20,Go to Speedcat OG Sneakers Pelé Yellow-PUMA Black,$100.00,https://us.puma.com/us/en/pd/speedcat-og-sneakers/398846?swatch=19,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/398846/19/sv01/fnd/PNA/fmt/png/Speedcat-OG-Sneakers",Puma
21,Go to Arizona Leo Sneakers Vapor Gray-Vapor Gray,$80.00,https://us.puma.com/us/en/pd/arizona-leo-sneakers/403045?swatch=01,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/403045/01/sv01/fnd/PNA/fmt/png/Arizona-Leo-Sneakers",Puma
22,Go to RS-X Suede Multi Sneakers Alpine Snow-Prairie Tan-Rickie Orange,$110.00,https://us.puma.com/us/en/pd/rs-x-suede-multi-sneakers/398575?swatch=01,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/398575/01/sv01/fnd/PNA/fmt/png/RS-X-Suede-Multi-Sneakers",Puma
23,Go to Palermo Leather Women's Sneakers PUMA White-Vapor Gray-Gum,$80.00,https://us.puma.com/us/en/pd/palermo-leather-womens-sneakers/397647?swatch=01,"https://images.puma.com/image/upload/f_auto,q_auto,b_rgb:fafafa,w_300,h_300/global/397647/01/sv01/fnd/PNA/fmt/png/Palermo-Leather-Women's-Sneakers",Puma
0,Nike Zoom Vomero 5,$170,https://www.nike.com/t/zoom-vomero-5-womens-shoes-81TPKW/HF1877-102,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3605bdd2-cd71-4b94-a1c4-8e1082611a85/W+NIKE+ZOOM+VOMERO+5.png",Nike
1,Nike P-6000 SE,$125,https://www.nike.com/t/p-6000-se-womens-shoes-SGxVgg/IF1756-201,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4658e015-b592-497c-b57b-97eb5c307d50/W+NIKE+P-6000+SE.png",Nike
2,Nike V2K Run,$125,https://www.nike.com/t/v2k-run-womens-shoes-ZKMJLX/FD0736-010,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1519ee13-8e19-4a32-90ab-638db073c326/W+NIKE+V2K+RUN.png",Nike
3,Nike LD-1000,$105,https://www.nike.com/t/ld-1000-womens-shoes-Ar5Dab2W/IH4484-133,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/be01eb19-baac-448c-a7d2-826f4097aea1/W+LD-1000.png",Nike
4,Nike Field General,$105,https://www.nike.com/t/field-general-womens-shoes-SDTBm0k1/FZ5593-004,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/855f040e-4ef0-4f40-a97d-e709a14a64d5/WMNS+NIKE+FIELD+GENERAL.png",Nike
5,Nike Pacific,$75,https://www.nike.com/t/pacific-womens-shoes-h2vWRN/HM4771-603,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2ef7e6a1-25d6-4dfb-9c67-1ae53c19a4d8/W+NIKE+PACIFIC.png",Nike
6,Nike Air Force 1 Low,$130,https://www.nike.com/t/air-force-1-low-womens-shoes-E0bnFKhS/IH4480-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ab6e040f-eadc-4e93-ae3e-bf6cc491fbf9/W+NIKE+AIR+FORCE+1+LO.png",Nike
